F1;MP_12593_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Fal Gyártótéri ajtó mellett 0,2 m-re 1 m magasan_Közlekedõ;EDT;TAMC
F2;MP_12594_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Zuhany Helyiség közepe_Zuhany;EDT;TAMC
F3;MP_12595_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Padló Csatornaszemnél_Zuhany;EDT;TAMC
F4;MP_12596_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Fal Fehér ruhaváltó ajtó mellett 0,2 m-re 1 m magasan_Zuhany;EDT;TAMC
F5;MP_12597_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Fehér ruhaváltó Helyiség közepe_Fehér ruhaváltó;EDT;TAMC
F6;MP_12598_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Kilincs Közlekedõ folyosó felöli ajtó_Fehér ruhaváltó;EDT;TAMC
F7;MP_12599_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Átülõpad  Ülõ felület közepe_Fehér ruhaváltó;EDT;TAMC
F8;MP_12600_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Padló Átülõpad mögötti középen a közlekedõ folyosó felöl_Fehér ruhaváltó;EDT;TAMC
F9;MP_12601_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Szekrény_Fehér ruhaváltó;EDT;TAMC
F10;MP_12602_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Mérleg kezelõpanel_Gyártótér;EXT;TYMC
F11;MP_12603_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;ablak_Gyártótér;EDT;TAMC
F12;MP_12604_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Mérleg_Gyártótér;EXT;TYMC
G1;MP_12605_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Heves Lászlóné-Kesztyu jobb kéz_Gyártótér;EDT;TAMC
G2;MP_12606_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Heves Lászlóné-Alkar külso oldala - jobb_Gyártótér;EDT;TAMC
G3;MP_12607_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;csap_Zuhany;EDT;TAMC
G4;MP_12608_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Tükör_Fehér ruhaváltó;EDT;TAMC
G5;MP_12609_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Heves Lászlóné-Kesztyu jobb kéz_Gyártótér;EDT;TAMC
G6;MP_12610_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Heves Lászlóné-Alkar külso oldala - jobb_Gyártótér;EDT;TAMC
G7;MP_12611_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;VI. Box önellenörzés_VI. box;EDT;TAMC
G8;MP_12612_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;VI. Box önellenörzés_VI. box;EDT;TAMC
G9;MP_12613_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;"Kiss Lilla-Kesztyu jobb kéz_""E"" hátterû tér";EDT;TAMC
G10;MP_12614_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;"Kiss Lilla-Alkar külso oldala - jobb_""E"" hátterû tér";EDT;TAMC
G11;MP_12615_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;Gyõri Dorina Eliza-Kesztyu jobb kéz_Tisztatér 008;EDT;TAMC
G12;MP_12616_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;Gyõri Dorina Eliza-Alkar külso oldala - jobb_Tisztatér 008;EDT;TAMC
H1;MP_12617_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;IV. Box önellenörzés_IV. box;EDT;TAMC
H2;MP_12618_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;IV. Box önellenörzés_IV. box;EDT;TAMC
H3;MP_12619_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;"Spanyúrné Mészáros Tünde-Kesztyu jobb kéz_""C"" hátterû tér";EDT;TAMC
H4;MP_12620_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;"Spanyúrné Mészáros Tünde-Alkar külso oldala - jobb_""C"" hátterû tér";EDT;TAMC
H5;MP_12621_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;II. box önellenörzés_II. box;EDT;TAMC
H6;MP_12622_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;II. box önellenörzés_II. box;EDT;TAMC
H7;MP_12623_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;"Kiss Lilla-Kesztyu jobb kéz_""C"" hátterû tér";EDT;TAMC
H8;MP_12624_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;"Kiss Lilla-Alkar külso oldala - jobb_""C"" hátterû tér";EDT;TAMC
H9;MP_12625_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;VI. Box önellenörzés_VI. box;EDT;TAMC
H10;MP_12626_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;VI. Box önellenörzés_VI. box;EDT;TAMC
H11;MP_12627_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;"Kiss Lilla-Kesztyu jobb kéz_""E"" hátterû tér";EDT;TAMC
H12;MP_12628_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-24;"Kiss Lilla-Alkar külso oldala - jobb_""E"" hátterû tér";EDT;TAMC
